prediction;test_price
28.92;29.26
28.84;28.32
28.72;26.76
28.12;27.01
27.14;27.44
26.9;28.21
27.0;27.6
27.31;27.75
27.28;27.31
27.58;26.26
27.45;27.04
26.62;28.53
26.75;29.0
27.89;28.7
28.42;29.88
28.37;29.53
29.08;30.57
28.95;30.38
29.45;31.21
29.6;30.23
30.11;30.73
29.8;30.43
29.97;30.64
29.7;31.84
29.71;32.03
30.48;31.25
30.98;31.74
30.5;32.85
30.82;32.79
31.45;31.58
31.56;30.42
30.82;30.85
30.22;31.72
30.42;31.47
31.1;31.83
30.97;31.95
31.13;30.6
31.01;31.36
30.32;33.23
30.55;32.7
31.81;33.0
32.02;32.17
32.05;31.83
31.66;32.26
31.36;31.08
31.79;30.8
31.02;30.24
30.67;30.34
29.86;30.85
29.84;30.79
30.07;32.46
30.14;32.59
31.07;33.15
31.33;33.45
31.9;33.35
32.06;33.59
32.24;32.52
32.32;33.1
31.68;33.18
31.62;32.9
31.79;32.37
31.66;32.4
31.6;32.52
31.52;31.99
31.28;33.3
30.86;33.39
31.5;34.02
31.64;34.71
32.06;34.63
32.92;34.29
33.13;34.72
32.85;34.52
33.43;35.27
33.67;35.77
34.5;36.37
34.83;36.74
35.1;36.6
35.52;36.49
35.36;35.63
35.44;35.66
34.88;35.35
34.58;35.43
34.29;35.92
34.11;36.31
34.56;36.19
35.08;36.14
35.25;36.14
35.22;36.42
35.3;36.23
35.4;36.14
35.48;35.9
35.29;35.81
34.84;36.21
34.63;35.82
34.81;36.83
34.47;37.25
35.01;37.73
35.42;38.0
35.91;38.23
36.12;38.16
36.69;38.47
36.62;38.3
36.78;37.98
36.71;38.24
36.66;38.44
36.63;38.27
36.67;38.0
36.76;38.19
36.6;38.03
36.71;38.34
36.69;38.6
36.9;38.66
37.21;39.03
37.33;39.0
37.89;39.31
37.8;38.67
37.89;38.44
37.31;38.69
37.06;38.89
37.03;38.98
37.52;40.52
37.38;40.03
38.48;40.02
38.58;39.76
38.65;39.99
38.4;39.81
38.36;39.84
38.21;39.86
38.01;40.19
38.12;40.86
38.08;40.65
38.69;40.06
38.65;39.6
38.39;40.31
38.02;40.36
38.53;39.86
38.32;39.52
38.07;39.66
37.65;38.77
37.61;37.74
37.07;38.09
36.4;38.81
36.21;38.53
36.81;38.35
36.95;39.29
37.08;39.12
37.57;38.74
37.76;38.99
37.57;38.68
37.48;38.83
37.21;39.31
37.38;39.92
37.57;39.91
37.95;39.69
38.26;40.32
38.36;40.09
39.08;40.33
38.84;39.52
38.69;40.34
38.13;40.79
38.44;41.45
38.78;41.69
39.1;41.95
39.57;41.59
39.9;41.44
39.87;41.5
39.71;40.81
39.76;40.33
39.45;40.87
38.78;40.87
38.83;40.7
38.99;40.91
39.02;40.97
38.93;41.87
38.9;41.61
39.58;42.08
39.69;40.88
39.84;40.89
39.06;41.28
39.11;41.92
39.28;42.01
39.89;42.57
39.96;42.17
40.7;42.7
40.79;42.56
41.27;43.44
41.49;43.35
41.93;43.36
41.87;43.74
41.61;43.94
41.97;43.64
42.01;43.7
42.17;42.99
42.09;43.55
41.53;44.07
41.83;44.03
42.28;44.65
42.6;44.85
42.84;44.73
43.16;44.29
43.25;44.23
42.97;44.19
42.69;43.6
42.75;43.52
42.24;43.65
41.85;44.37
41.79;44.06
42.3;45.43
42.45;45.43
43.36;45.1
43.73;44.73
43.49;44.17
42.99;44.34
42.52;44.47
42.4;45.77
42.46;45.98
43.14;45.85
43.56;45.24
43.54;44.95
43.29;45.09
43.24;45.82
43.36;45.71
43.68;45.86
43.67;46.48
43.74;46.0
44.14;45.71
43.93;45.9
43.55;45.75
43.49;45.93
43.11;46.26
43.11;46.46
43.54;46.45
43.92;45.7
44.12;45.72
43.69;45.27
43.4;45.63
43.15;45.69
43.52;45.69
43.55;46.07
43.21;45.5
43.25;45.54
42.85;45.72
43.0;46.76
43.17;47.75
44.2;47.63
44.92;47.43
45.11;47.47
45.04;47.6
44.88;48.43
44.81;48.2
45.32;48.01
45.26;47.78
44.92;48.52
45.06;48.48
45.33;48.56
45.52;48.72
45.5;48.37
45.72;47.82
45.45;48.41
44.73;48.13
45.13;47.94
45.16;47.54
45.17;48.31
44.78;48.45
45.21;48.77
45.57;48.18
45.99;47.42
45.75;47.15
45.02;46.35
44.51;46.58
43.86;46.76
43.8;47.17
43.92;48.14
44.07;48.26
44.72;47.78
44.79;47.68
44.63;46.73
44.79;46.63
44.29;46.27
43.95;46.11
43.58;45.22
43.57;45.83
42.95;45.9
42.97;46.33
42.84;46.47
43.0;46.11
43.09;46.07
42.97;43.33
42.83;43.69
41.27;44.15
40.92;43.43
41.02;43.7
40.88;43.66
41.01;44.11
41.21;44.6
41.23;44.82
41.51;45.35
41.82;45.14
42.15;44.74
42.03;45.3
